,Text,Ground-Truth,Rank,All-Ranks,Prediction,Candidates,LR-distances,LD-distances,LRD-distances,ARD-distances,LARD-distances
0,A manual can opener with a light blue plastic handle lays on it's side horizontally in front of me. The handle to the turning gear is closest to me and on my right side.,can_opener_3_4,0,[0 1 3 4 2],can_opener_3_4,"['can_opener_3_4' 'flashlight_2_3' 'picture_frame_5_1' 'lightbulb_1_4'
 'screwdriver_4_3']",[0.4  0.38 0.5  0.54 0.5 ],[0.37 0.43 0.53 0.5  0.5 ],[0.38 0.4  0.52 0.52 0.5 ],[0.46 0.39 0.4  0.26 0.37],[0.42 0.4  0.46 0.39 0.43]
1,A pastel blue hand manual can opener.,can_opener_3_4,0,[0 3 2 4 1],can_opener_3_4,"['can_opener_3_4' 'medicine_bottle_1_2' 'allen_wrench_4_3' 'shampoo_2_2'
 'bell_pepper_1_1']",[0.4  0.56 0.4  0.55 0.37],[0.36 0.56 0.44 0.57 0.43],[0.38 0.56 0.42 0.56 0.4 ],[0.46 0.34 0.37 0.4  0.38],[0.42 0.45 0.4  0.48 0.39]
2,A blue can opener.,can_opener_3_4,0,[0 4 1 2 3],can_opener_3_4,"['can_opener_3_4' 'plate_4_2' 'lightbulb_4_3' 'bell_pepper_3_4'
 'food_jar_3_1']",[0.39 0.65 0.44 0.49 0.48],[0.4  0.63 0.45 0.48 0.65],[0.39 0.64 0.44 0.48 0.57],[0.57 0.45 0.23 0.37 0.45],[0.48 0.55 0.34 0.43 0.51]
3,A blue handled can opener.,can_opener_3_4,1,[1 4 0 3 2],pliers_2_3,"['can_opener_3_4' 'cell_phone_3_2' 'pliers_2_3' 'book_1_4'
 'bell_pepper_2_1']",[0.34 0.66 0.32 0.51 0.52],[0.39 0.49 0.27 0.6  0.56],[0.37 0.58 0.29 0.56 0.54],[0.5  0.41 0.43 0.48 0.39],[0.43 0.49 0.36 0.52 0.46]
4,This is a can opener. It is light blue in color.,can_opener_3_4,1,[1 3 2 4 0],lightbulb_4_3,"['can_opener_3_4' 'potato_5_1' 'soda_bottle_3_2' 'book_3_1'
 'lightbulb_4_3']",[0.41 0.62 0.57 0.75 0.4 ],[0.45 0.57 0.55 0.78 0.41],[0.43 0.6  0.56 0.77 0.41],[0.37 0.42 0.58 0.48 0.28],[0.4  0.51 0.57 0.62 0.34]
5,On the turntable is a metal can opener with a light blue plastic handle and lever. It looks kind of old-fashioned.,can_opener_3_4,0,[0 4 2 1 3],can_opener_3_4,"['can_opener_3_4' 'sponge_2_4' 'syringe_5_1' 'pill_cutter_1_4'
 'soda_bottle_5_4']",[0.35 0.7  0.53 0.52 0.56],[0.41 0.58 0.45 0.38 0.55],[0.38 0.64 0.49 0.45 0.55],[0.39 0.54 0.44 0.58 0.44],[0.39 0.59 0.46 0.52 0.5 ]
6,a blue manual measuring tape,can_opener_3_4,2,[2 0 1 3 4],plate_5_4,"['can_opener_3_4' 'plate_5_4' 'marker_1_2' 'food_can_4_3'
 'water_bottle_3_3']",[0.5  0.34 0.4  0.45 0.77],[0.39 0.44 0.4  0.48 0.79],[0.45 0.39 0.4  0.47 0.78],[0.52 0.39 0.36 0.36 0.54],[0.49 0.39 0.38 0.42 0.66]
7,This is a aqua manual can opener.,can_opener_3_4,0,[0 1 2 4 3],can_opener_3_4,"['can_opener_3_4' 'screwdriver_2_1' 'marker_6_3' 'lemon_1_4'
 'lightbulb_3_1']",[0.35 0.42 0.4  0.57 0.47],[0.41 0.34 0.44 0.48 0.44],[0.38 0.38 0.42 0.52 0.46],[0.35 0.33 0.35 0.47 0.41],[0.36 0.36 0.38 0.5  0.43]
8,This is a manual can opener with light blue handles,can_opener_3_4,1,[1 0 3 2 4],banana_3_4,"['can_opener_3_4' 'banana_3_4' 'syringe_5_1' 'measuring_tape_5_1'
 'cap_2_2']",[0.31 0.38 0.49 0.44 0.53],[0.4  0.33 0.44 0.38 0.52],[0.35 0.35 0.47 0.41 0.53],[0.42 0.29 0.39 0.3  0.42],[0.39 0.32 0.43 0.35 0.48]
9,This is a hand-operated can opener with turquoise handles.,can_opener_3_4,0,[0 1 4 3 2],can_opener_3_4,"['can_opener_3_4' 'toothbrush_5_3' 'tissue_box_1_4' 'notebook_2_3'
 'syringe_4_1']",[0.31 0.48 0.73 0.59 0.5 ],[0.41 0.5  0.79 0.59 0.5 ],[0.36 0.49 0.76 0.59 0.5 ],[0.38 0.43 0.56 0.42 0.39],[0.37 0.46 0.66 0.5  0.44]
10,A box of toy story themed band aids.,band_aid_1_1,0,[0 1 3 2 4],band_aid_1_1,"['band_aid_1_1' 'food_can_3_2' 'water_bottle_3_3' 'pliers_1_3'
 'lightbulb_4_3']",[0.39 0.36 0.57 0.55 0.68],[0.21 0.44 0.66 0.38 0.83],[0.3  0.4  0.62 0.47 0.75],[0.35 0.33 0.42 0.39 0.67],[0.32 0.37 0.52 0.43 0.71]
11,a box of bandages,band_aid_1_1,0,[0 2 3 4 1],band_aid_1_1,"['band_aid_1_1' 'picture_frame_3_1' 'bowl_2_3' 'water_bottle_1_4'
 'mouse_1_1']",[0.39 0.58 0.6  0.56 0.3 ],[0.19 0.34 0.5  0.64 0.48],[0.29 0.46 0.55 0.6  0.39],[0.31 0.4  0.51 0.31 0.44],[0.3  0.43 0.53 0.45 0.42]
12,A red and white box of band-aids.,band_aid_1_1,0,[0 4 3 2 1],band_aid_1_1,"['band_aid_1_1' 'pencil_2_1' 'prescription_medicine_bottle_3_3'
 'food_can_2_1' 'food_jar_5_2']",[0.42 0.67 0.55 0.31 0.41],[0.22 0.74 0.45 0.48 0.35],[0.32 0.71 0.5  0.4  0.38],[0.29 0.63 0.43 0.31 0.26],[0.3  0.67 0.46 0.35 0.32]
13,It is a box of band-aids with a Toy Story picture on it,band_aid_1_1,0,[0 1 4 3 2],band_aid_1_1,['band_aid_1_1' 'book_1_4' 'syringe_2_4' 'scissors_1_3' 'shampoo_1_2'],[0.39 0.53 0.68 0.53 0.54],[0.2  0.33 0.75 0.77 0.53],[0.29 0.43 0.71 0.65 0.53],[0.33 0.43 0.71 0.61 0.3 ],[0.31 0.43 0.71 0.63 0.42]
14,The object is a container of bandages with Toy Story characters on it.,band_aid_1_1,0,[0 3 4 1 2],band_aid_1_1,['band_aid_1_1' 'hammer_3_3' 'cell_phone_1_2' 'bowl_3_2' 'hand_towel_2_3'],[0.33 0.59 0.56 0.54 0.58],[0.2  0.51 0.63 0.51 0.5 ],[0.27 0.55 0.59 0.53 0.54],[0.38 0.56 0.53 0.47 0.44],[0.32 0.55 0.56 0.5  0.49]
15,This is a box of Toy Story bandanges,band_aid_1_1,0,[0 4 2 3 1],band_aid_1_1,"['band_aid_1_1' 'shampoo_1_2' 'hammer_2_4' 'plate_4_2'
 'medicine_bottle_1_4']",[0.41 0.52 0.48 0.48 0.38],[0.22 0.44 0.36 0.44 0.4 ],[0.31 0.48 0.42 0.46 0.39],[0.31 0.41 0.44 0.45 0.32],[0.31 0.45 0.43 0.45 0.35]
16,It is a box of Toy-Story themed band-aids.,band_aid_1_1,0,[0 1 3 2 4],band_aid_1_1,"['band_aid_1_1' 'pliers_4_1' 'lightbulb_1_4' 'syringe_5_1'
 'soda_bottle_1_1']",[0.42 0.57 0.64 0.59 0.71],[0.23 0.56 0.69 0.62 0.69],[0.32 0.56 0.67 0.61 0.7 ],[0.41 0.48 0.51 0.42 0.71],[0.37 0.52 0.59 0.51 0.71]
17,This is a box of band aids. It has Toys Story characters on the box.,band_aid_1_1,0,[0 4 2 1 3],band_aid_1_1,"['band_aid_1_1' 'bell_pepper_3_1' 'eye_glasses_1_2' 'picture_frame_3_1'
 'toothbrush_4_1']",[0.41 0.72 0.65 0.51 0.65],[0.21 0.79 0.56 0.34 0.56],[0.31 0.75 0.6  0.43 0.61],[0.28 0.58 0.59 0.3  0.51],[0.3  0.67 0.6  0.37 0.56]
18,This is a box of band-aids.,band_aid_1_1,1,[1 4 3 0 2],food_can_4_3,"['band_aid_1_1' 'bell_pepper_5_1' 'marker_5_2' 'food_can_4_3'
 'hand_towel_1_4']",[0.41 0.7  0.56 0.18 0.74],[0.2  0.66 0.74 0.19 0.44],[0.3  0.68 0.65 0.18 0.59],[0.33 0.61 0.48 0.27 0.6 ],[0.32 0.64 0.56 0.23 0.59]
19,this is a metal can of band-aids.,band_aid_1_1,0,[0 2 3 1 4],band_aid_1_1,['band_aid_1_1' 'banana_4_1' 'lightbulb_1_4' 'banana_1_3' 'book_4_4'],[0.37 0.58 0.65 0.63 0.61],[0.25 0.6  0.56 0.45 0.67],[0.31 0.59 0.61 0.54 0.64],[0.28 0.62 0.52 0.56 0.51],[0.29 0.61 0.56 0.55 0.57]
20,There is a yellow apple. It looks very tasty and is a decent size.,apple_1_5,0,[0 2 3 1 4],apple_1_5,['apple_1_5' 'banana_5_4' 'pliers_4_1' 'bowl_3_2' 'band_aid_2_4'],[0.19 0.45 0.56 0.44 0.83],[0.18 0.5  0.55 0.43 0.87],[0.19 0.47 0.56 0.43 0.85],[0.32 0.42 0.43 0.5  0.67],[0.25 0.45 0.49 0.47 0.76]
21,An elegant teacup with flower designs.,coffee_mug_4_3,1,[1 0 3 2 4],mouse_3_3,['coffee_mug_4_3' 'mouse_3_3' 'marker_4_4' 'toothpaste_1_3' 'gauze_2_3'],[0.34 0.34 0.52 0.47 0.55],[0.36 0.35 0.51 0.46 0.5 ],[0.35 0.34 0.51 0.46 0.53],[0.37 0.35 0.4  0.34 0.31],[0.36 0.35 0.46 0.4  0.42]
22,"This is an apple. Oddly, it is yellow in color.",apple_1_5,0,[0 1 4 3 2],apple_1_5,['apple_1_5' 'onion_4_4' 'band_aid_1_4' 'hand_towel_3_4' 'stapler_2_3'],[0.15 0.42 0.6  0.47 0.52],[0.14 0.29 0.75 0.63 0.48],[0.15 0.35 0.67 0.55 0.5 ],[0.55 0.46 0.29 0.55 0.4 ],[0.35 0.41 0.48 0.55 0.45]
23,This is a porcelain mug with a floral design.,coffee_mug_4_3,0,[0 4 2 3 1],coffee_mug_4_3,"['coffee_mug_4_3' 'measuring_tape_3_4' 'fork_2_3' 'scissors_2_1'
 'hammer_6_2']",[0.32 0.51 0.53 0.56 0.44],[0.38 0.67 0.52 0.57 0.48],[0.35 0.59 0.52 0.57 0.46],[0.32 0.38 0.4  0.65 0.44],[0.33 0.48 0.46 0.61 0.45]
24,a yellow apple,apple_1_5,0,[0 4 3 1 2],apple_1_5,['apple_1_5' 'shampoo_2_2' 'toothbrush_4_1' 'lime_2_3' 'can_opener_1_4'],[0.14 0.59 0.52 0.25 0.47],[0.12 0.61 0.61 0.28 0.48],[0.13 0.6  0.56 0.27 0.48],[0.3  0.49 0.43 0.25 0.39],[0.21 0.55 0.5  0.26 0.43]
25,a decorative tea cup,coffee_mug_4_3,0,[0 4 2 1 3],coffee_mug_4_3,['coffee_mug_4_3' 'can_opener_4_4' 'stapler_3_2' 'spoon_5_4' 'gauze_1_1'],[0.34 0.58 0.45 0.47 0.5 ],[0.44 0.51 0.49 0.4  0.54],[0.39 0.54 0.47 0.43 0.52],[0.31 0.45 0.47 0.46 0.55],[0.35 0.5  0.47 0.45 0.53]
26,"On the turntable is a yellow apple, perhaps a Golden Delicious variety.",apple_1_5,0,[0 4 2 1 3],apple_1_5,['apple_1_5' 'toothpaste_3_4' 'syringe_5_1' 'allen_wrench_2_3' 'spoon_4_2'],[0.21 0.66 0.49 0.4  0.52],[0.2  0.56 0.49 0.41 0.5 ],[0.2  0.61 0.49 0.41 0.51],[0.43 0.41 0.36 0.36 0.42],[0.32 0.51 0.42 0.38 0.46]
27,"On the turntable is a cup or vase that looks like it's made of porcelain and decorated with a colorful floral pattern, possibly Polish or Russian style.",coffee_mug_4_3,0,[0 2 4 3 1],coffee_mug_4_3,"['coffee_mug_4_3' 'toothpaste_3_1' 'flashlight_1_3' 'syringe_1_1'
 'picture_frame_5_1']",[0.32 0.45 0.47 0.54 0.35],[0.35 0.44 0.6  0.52 0.39],[0.34 0.45 0.53 0.53 0.37],[0.36 0.4  0.5  0.47 0.37],[0.35 0.42 0.52 0.5  0.37]
28,On the table is a yellow apple. it has a brown stem on top and a flat bottom.,apple_1_5,0,[0 4 2 1 3],apple_1_5,['apple_1_5' 'eye_glasses_4_2' 'marker_5_2' 'hammer_6_2' 'toothpaste_3_1'],[0.16 0.61 0.7  0.42 0.6 ],[0.13 0.62 0.43 0.54 0.61],[0.15 0.61 0.57 0.48 0.6 ],[0.24 0.61 0.47 0.39 0.52],[0.19 0.61 0.52 0.44 0.56]
29,On the table is a white and colorful mug. It has colorful flowers and a blue stripe on the bottom.,coffee_mug_4_3,0,[0 1 3 4 2],coffee_mug_4_3,"['coffee_mug_4_3' 'lightbulb_3_3' 'potato_2_1' 'measuring_tape_4_1'
 'soda_bottle_2_4']",[0.32 0.43 0.47 0.49 0.47],[0.35 0.4  0.44 0.54 0.41],[0.34 0.42 0.46 0.51 0.44],[0.36 0.42 0.41 0.43 0.38],[0.35 0.42 0.43 0.47 0.41]
30,A yellow green apple.,apple_1_5,0,[0 4 1 2 3],apple_1_5,['apple_1_5' 'book_1_4' 'onion_2_1' 'marker_2_1' 'stapler_2_1'],[0.12 0.62 0.38 0.56 0.68],[0.08 0.78 0.41 0.55 0.6 ],[0.1  0.7  0.4  0.55 0.64],[0.23 0.71 0.34 0.58 0.5 ],[0.17 0.71 0.37 0.56 0.57]
31,A floral design tea cup with a blue rim on the top and the bottom.,coffee_mug_4_3,1,[1 2 0 4 3],soda_bottle_2_4,"['coffee_mug_4_3' 'potato_1_1' 'soda_bottle_2_4' 'stapler_5_4'
 'hammer_6_2']",[0.35 0.45 0.34 0.69 0.45],[0.39 0.45 0.28 0.55 0.55],[0.37 0.45 0.31 0.62 0.5 ],[0.27 0.41 0.37 0.48 0.51],[0.32 0.43 0.34 0.55 0.5 ]
32,The object is a yellow apple.,apple_1_5,0,[0 1 3 2 4],apple_1_5,"['apple_1_5' 'onion_4_4' 'measuring_tape_3_4' 'coffee_mug_5_1'
 'hammer_3_2']",[0.14 0.4  0.42 0.46 0.52],[0.09 0.26 0.58 0.46 0.57],[0.11 0.33 0.5  0.46 0.54],[0.46 0.36 0.45 0.35 0.61],[0.29 0.35 0.47 0.4  0.58]
