,Text,Ground-Truth,Rank,All-Ranks,Prediction,Candidates,LR-distances,LD-distances,LRD-distances,LARD-distances
0,A manual can opener with a light blue plastic handle lays on it's side horizontally in front of me. The handle to the turning gear is closest to me and on my right side.,can_opener_3_4,0,[0 1 4 3 2],can_opener_3_4,"['can_opener_3_4' 'flashlight_2_3' 'picture_frame_5_1' 'lightbulb_1_4'
 'screwdriver_4_3']",[0.45 0.43 0.76 0.75 0.63],[0.5  0.52 0.68 0.62 0.54],[0.47 0.47 0.72 0.68 0.59],[0.5  0.47 0.67 0.53 0.49]
1,A pastel blue hand manual can opener.,can_opener_3_4,2,[2 3 0 4 1],allen_wrench_4_3,"['can_opener_3_4' 'medicine_bottle_1_2' 'allen_wrench_4_3' 'shampoo_2_2'
 'bell_pepper_1_1']",[0.59 0.64 0.44 0.67 0.41],[0.59 0.63 0.43 0.78 0.59],[0.59 0.64 0.44 0.73 0.5 ],[0.51 0.57 0.46 0.62 0.48]
2,A blue can opener.,can_opener_3_4,0,[0 4 2 1 3],can_opener_3_4,"['can_opener_3_4' 'plate_4_2' 'lightbulb_4_3' 'bell_pepper_3_4'
 'food_jar_3_1']",[0.5  0.81 0.67 0.62 0.64],[0.54 0.79 0.55 0.56 0.67],[0.52 0.8  0.61 0.59 0.65],[0.58 0.73 0.51 0.59 0.59]
3,A blue handled can opener.,can_opener_3_4,1,[1 4 0 3 2],pliers_2_3,"['can_opener_3_4' 'cell_phone_3_2' 'pliers_2_3' 'book_1_4'
 'bell_pepper_2_1']",[0.46 0.78 0.45 0.57 0.53],[0.52 0.61 0.39 0.62 0.6 ],[0.49 0.7  0.42 0.6  0.57],[0.51 0.62 0.49 0.6  0.54]
4,This is a can opener. It is light blue in color.,can_opener_3_4,0,[0 2 4 3 1],can_opener_3_4,"['can_opener_3_4' 'potato_5_1' 'soda_bottle_3_2' 'book_3_1'
 'lightbulb_4_3']",[0.51 0.71 0.83 0.82 0.61],[0.55 0.61 0.75 0.76 0.49],[0.53 0.66 0.79 0.79 0.55],[0.51 0.6  0.77 0.7  0.44]
5,On the turntable is a metal can opener with a light blue plastic handle and lever. It looks kind of old-fashioned.,can_opener_3_4,0,[0 3 2 1 4],can_opener_3_4,"['can_opener_3_4' 'sponge_2_4' 'syringe_5_1' 'pill_cutter_1_4'
 'soda_bottle_5_4']",[0.48 0.66 0.64 0.52 0.67],[0.48 0.61 0.46 0.45 0.65],[0.48 0.64 0.55 0.48 0.66],[0.52 0.64 0.59 0.55 0.67]
6,a blue manual measuring tape,can_opener_3_4,2,[2 3 1 0 4],food_can_4_3,"['can_opener_3_4' 'plate_5_4' 'marker_1_2' 'food_can_4_3'
 'water_bottle_3_3']",[0.54 0.51 0.6  0.42 0.82],[0.46 0.53 0.37 0.48 0.87],[0.5  0.52 0.49 0.45 0.85],[0.52 0.55 0.52 0.41 0.71]
7,This is a aqua manual can opener.,can_opener_3_4,2,[2 1 0 3 4],marker_6_3,"['can_opener_3_4' 'screwdriver_2_1' 'marker_6_3' 'lemon_1_4'
 'lightbulb_3_1']",[0.48 0.56 0.36 0.65 0.59],[0.53 0.45 0.38 0.53 0.64],[0.51 0.5  0.37 0.59 0.62],[0.47 0.46 0.34 0.59 0.6 ]
8,This is a manual can opener with light blue handles,can_opener_3_4,0,[0 3 2 1 4],can_opener_3_4,"['can_opener_3_4' 'banana_3_4' 'syringe_5_1' 'measuring_tape_5_1'
 'cap_2_2']",[0.47 0.52 0.58 0.48 0.71],[0.51 0.6  0.46 0.52 0.62],[0.49 0.56 0.52 0.5  0.67],[0.46 0.48 0.52 0.46 0.63]
9,This is a hand-operated can opener with turquoise handles.,can_opener_3_4,0,[0 1 4 3 2],can_opener_3_4,"['can_opener_3_4' 'toothbrush_5_3' 'tissue_box_1_4' 'notebook_2_3'
 'syringe_4_1']",[0.43 0.48 0.87 0.65 0.54],[0.48 0.56 0.92 0.69 0.59],[0.46 0.52 0.9  0.67 0.56],[0.52 0.51 0.85 0.62 0.5 ]
10,A box of toy story themed band aids.,band_aid_1_1,1,[1 0 3 2 4],food_can_3_2,"['band_aid_1_1' 'food_can_3_2' 'water_bottle_3_3' 'pliers_1_3'
 'lightbulb_4_3']",[0.56 0.41 0.77 0.58 0.78],[0.32 0.44 0.91 0.42 1.01],[0.44 0.42 0.84 0.5  0.9 ],[0.45 0.45 0.82 0.47 0.88]
11,a box of bandages,band_aid_1_1,0,[0 2 4 3 1],band_aid_1_1,"['band_aid_1_1' 'picture_frame_3_1' 'bowl_2_3' 'water_bottle_1_4'
 'mouse_1_1']",[0.49 0.65 0.88 0.59 0.46],[0.26 0.46 0.72 0.74 0.57],[0.38 0.56 0.8  0.67 0.52],[0.36 0.56 0.81 0.59 0.55]
12,A red and white box of band-aids.,band_aid_1_1,0,[0 4 3 1 2],band_aid_1_1,"['band_aid_1_1' 'pencil_2_1' 'prescription_medicine_bottle_3_3'
 'food_can_2_1' 'food_jar_5_2']",[0.52 0.71 0.61 0.39 0.55],[0.31 0.86 0.47 0.52 0.47],[0.41 0.78 0.54 0.45 0.51],[0.38 0.75 0.51 0.41 0.47]
13,It is a box of band-aids with a Toy Story picture on it,band_aid_1_1,0,[0 1 4 2 3],band_aid_1_1,['band_aid_1_1' 'book_1_4' 'syringe_2_4' 'scissors_1_3' 'shampoo_1_2'],[0.56 0.49 0.86 0.54 0.72],[0.29 0.42 0.97 0.77 0.62],[0.43 0.46 0.92 0.65 0.67],[0.4  0.44 0.89 0.66 0.59]
14,The object is a container of bandages with Toy Story characters on it.,band_aid_1_1,0,[0 2 4 3 1],band_aid_1_1,['band_aid_1_1' 'hammer_3_3' 'cell_phone_1_2' 'bowl_3_2' 'hand_towel_2_3'],[0.46 0.63 0.74 0.72 0.62],[0.28 0.64 0.8  0.66 0.61],[0.37 0.64 0.77 0.69 0.62],[0.44 0.61 0.7  0.68 0.61]
15,This is a box of Toy Story bandanges,band_aid_1_1,0,[0 3 1 4 2],band_aid_1_1,"['band_aid_1_1' 'shampoo_1_2' 'hammer_2_4' 'plate_4_2'
 'medicine_bottle_1_4']",[0.57 0.67 0.58 0.63 0.49],[0.32 0.53 0.42 0.61 0.61],[0.45 0.6  0.5  0.62 0.55],[0.43 0.61 0.52 0.63 0.54]
16,It is a box of Toy-Story themed band-aids.,band_aid_1_1,0,[0 1 2 3 4],band_aid_1_1,"['band_aid_1_1' 'pliers_4_1' 'lightbulb_1_4' 'syringe_5_1'
 'soda_bottle_1_1']",[0.53 0.65 0.63 0.75 0.85],[0.33 0.73 0.79 0.8  0.82],[0.43 0.69 0.71 0.78 0.83],[0.43 0.73 0.64 0.73 0.83]
17,This is a box of band aids. It has Toys Story characters on the box.,band_aid_1_1,0,[0 3 2 1 4],band_aid_1_1,"['band_aid_1_1' 'bell_pepper_3_1' 'eye_glasses_1_2' 'picture_frame_3_1'
 'toothbrush_4_1']",[0.55 0.72 0.71 0.63 0.83],[0.3  0.8  0.67 0.46 0.74],[0.43 0.76 0.69 0.55 0.78],[0.39 0.75 0.69 0.54 0.76]
18,This is a box of band-aids.,band_aid_1_1,1,[1 4 3 0 2],food_can_4_3,"['band_aid_1_1' 'bell_pepper_5_1' 'marker_5_2' 'food_can_4_3'
 'hand_towel_1_4']",[0.52 0.81 0.59 0.28 0.79],[0.3  0.8  0.91 0.22 0.53],[0.41 0.81 0.75 0.25 0.66],[0.35 0.77 0.68 0.26 0.7 ]
19,this is a metal can of band-aids.,band_aid_1_1,0,[0 4 3 1 2],band_aid_1_1,['band_aid_1_1' 'banana_4_1' 'lightbulb_1_4' 'banana_1_3' 'book_4_4'],[0.46 0.66 0.64 0.67 0.64],[0.31 0.7  0.66 0.54 0.65],[0.39 0.68 0.65 0.61 0.65],[0.38 0.7  0.64 0.61 0.52]
